"bart de wever","NV-A","Sat Dec 23 12:45:32 +0000 2017","Bart De Wever, schoof op van schaduwpremier naar echte premier. Dat is de voorbije 24u duidelijk geworden. https://t.co/s1HrygdCis","(0.21666666666666665, 0.4000000000000001)"
"bart de wever","NV-A","Sat Dec 23 12:28:42 +0000 2017","@caelisangelus @terzaketv @Bart_DeWever Ziehier mijnheer De Wever uw kiespubliek!","(0.0, 0.0)"
"bart de wever","NV-A","Sat Dec 23 11:46:24 +0000 2017","RT @NolfJan: Bart De Wever blijft 100% achter populaire #FranckenTheo staan: een voorbeeld te meer van ""bluf, branie en bravoure… https://t.co/EAIp1VM309","(0.35, 0.9)"
"elio di rupo","PS","Fri Dec 22 18:11:28 +0000 2017","@AlexanderPrym Je ne sais pas ce qui est plus abject chez @eliodirupo l'hypocrisie ou la mauvaise foi. Ou tout simp… https://t.co/vdlYManA4b","(-0.11333333333333333, 0.3333333333333333)"
"elio di rupo","PS","Fri Dec 22 17:01:22 +0000 2017","@FranzIsBack Ah, parce que vous connaissez un pays où on peut garantir la sécurité des rapatriés, vous ? Cf Maggie… https://t.co/SQirl341KF","(0.0, 0.0)"
"elio di rupo","PS","Fri Dec 22 16:39:05 +0000 2017","RT @Steph_Crusniere: Retweeted Elio Di Rupo (@eliodirupo):

S’il s’avère qu’il a menti, @FranckenTheo doit quitter le gouvernement ! #Soudan","(0.0, 0.0)"
"elio di rupo","PS","Fri Dec 22 16:33:29 +0000 2017","Retweeted Elio Di Rupo (@eliodirupo):

S’il s’avère qu’il a menti, @FranckenTheo doit quitter le gouvernement ! #Soudan","(0.0, 0.0)"
"elio di rupo","PS","Fri Dec 22 16:27:22 +0000 2017","@elodiederampo @kristofcalvo Is dat poll van de kampioenen elio di rupo?","(0.0, 0.0)"